cfg-if,0.2531119620000001
lazy_static,0.31886673
unicode-xid,0.37941226699999997
regex-automata,0.833758819
log,0.838876858
memchr,1.0469199860000002
proc-macro2,1.224317487
libc,1.3134137360000002
serde_derive,1.159602949
syn,1.296954784
encoding_rs,0.7470381689999999
fnv,0.24597595299999986
unicode-width,0.323358217
same-file,0.5638486989999998
bitflags,1.2129577819999997
once_cell,0.6797678349999998
ryu,1.2915214919999998
serde,1.268211983
itoa,0.40221811100000027
log,0.005270394000000067
memchr,0.004736857999999788
crossbeam-utils,0.9608216339999998
bytecount,0.8334006500000002
proc-macro2,0.26660021600000006
serde_json,1.1937022270000002
encoding_rs,0.0029504540000000468
libc,0.25102035099999975
serde_derive,0.23243367899999967
syn,0.21689767500000023
bitflags,0.24054088300000043
termcolor,1.5478614830000001
ryu,0.24929930799999944
serde,0.2246338510000001
base64,1.1927625649999998
crossbeam-utils,0.005574008000000852
strsim,1.4965288440000002
textwrap,1.0417889320000002
serde_json,0.300431337
thread_local,0.9797331479999993
bitflags,0.27386333299999954
log,0.8222803030000003
walkdir,1.5161594130000005
ryu,0.7343579929999997
libc,1.570227226
memchr,2.2496752620000002
crossbeam-utils,1.7120748769999992
proc-macro2,2.8192980590000003
quote,1.4419848499999999
atty,0.33655306599999957
grep-matcher,1.0654834039999992
memmap2,0.8641495519999998
bstr,2.2831571319999995
num_cpus,1.697777651
encoding_rs_io,0.7783377309999988
encoding_rs,6.2631603039999995
aho-corasick,4.471751793000001
grep-searcher,1.800053072999999
regex-syntax,10.220539592
clap,10.466212223
syn,8.810618468999998
globset,4.789946298999999
grep-cli,2.6092061429999998
grep-regex,4.484716956999998
regex,8.568914609
ripgrep,2.367726767999999
ripgrep,0.017562299000001502
ignore,3.3953272799999983
serde_derive,5.849811087000003
serde,3.964605594000002
serde_json,1.7307977860000001
grep,0.16958757400000124
grep-printer,1.1066384189999994
ripgrep,6.4446020589999975
